model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
studio-ousia/mluke-large-lite,nu-mnli,5e-05,64.0,0.0,256.0,79.59014419010819,78.58769069986708,77.32615514458143,73.4903457080204,76.46806385082297,5
studio-ousia/mluke-large-lite,nu-mnli,3e-05,64.0,0.0,256.0,80.05809788872972,79.08313754334043,76.65096924181356,72.54452016252102,76.09287564922502,5
studio-ousia/mluke-large-lite,nu-mnli,1e-05,64.0,0.0,512.0,79.57282119523286,78.54008264581731,77.34645280505582,73.39884880921586,76.42846142002966,5
studio-ousia/mluke-large-lite,jsnli,5e-05,512.0,0.0,153.6,83.34691768581413,81.5987381116911,79.70037110176504,77.25650206703018,79.51853709349544,5
studio-ousia/mluke-large-lite,jsnli,3e-05,512.0,0.0,192.0,83.41595847677823,81.6892302499325,79.61553522440639,77.24508792603567,79.51661780012485,5
studio-ousia/mluke-large-lite,jsnli,1e-05,512.0,1.0,345.6,83.97613288908856,82.35396247380405,80.19632921624327,77.54857286788722,80.03295485264485,5
studio-ousia/mluke-large-lite,jsnli,5e-05,256.0,0.0,217.6,83.43239189323948,81.73367452611768,79.82645476024359,77.27551984115374,79.611883042505,5
studio-ousia/mluke-large-lite,jsnli,3e-05,256.0,0.0,268.8,83.56897471786532,81.89363221680718,79.94663339121735,77.28349073963221,79.70791878255224,5
studio-ousia/mluke-large-lite,jsnli,1e-05,256.0,0.0,499.2,83.97960126260655,82.32149446716426,79.99221740816441,77.51473291775947,79.94281493102937,5
studio-ousia/mluke-large-lite,jsnli,5e-05,128.0,0.0,332.8,83.16573064863147,81.5308387940705,79.61059421960145,77.30626153984731,79.4825648511731,5
studio-ousia/mluke-large-lite,jsnli,3e-05,128.0,0.0,409.6,83.72011847940898,82.00608817146664,79.77343398109586,77.3824133872441,79.72064517993553,5
studio-ousia/mluke-large-lite,jsnli,1e-05,128.0,0.0,768.0,84.01869165108285,82.33533065724933,80.0102686684636,77.69007478312236,80.01189136961177,5
studio-ousia/mluke-large-lite,jsnli,5e-05,64.0,0.0,512.0,83.49740992044647,81.97951784149816,79.73645180757799,77.39182057212231,79.70259674039949,5
studio-ousia/mluke-large-lite,jsnli,3e-05,64.0,0.0,716.8,83.38858702079509,81.77050123136773,80.10144330852188,77.71360716406323,79.86185056798429,5
studio-ousia/mluke-large-lite,jsnli,1e-05,64.0,0.0,1126.4,83.73818087365736,82.14761878403156,79.77211465181583,77.41521278289947,79.77831540624895,5
studio-ousia/mluke-large-lite,janli,5e-05,512.0,6.2,89.6,80.66803705937409,80.61692415237862,76.20570638729282,71.35132856782619,76.05798636916587,5
studio-ousia/mluke-large-lite,janli,3e-05,512.0,6.6,96.0,80.52150899658676,80.3966134418437,75.48927198489159,70.94728381776028,75.61105641483186,5
studio-ousia/mluke-large-lite,janli,1e-05,512.0,13.8,185.6,80.56522363871277,80.32247029924278,75.34435628391205,70.85111612396683,75.50598090237388,5
studio-ousia/mluke-large-lite,janli,5e-05,256.0,4.6,140.8,80.91885836999515,80.70184552781511,76.34325317989482,71.49657816548631,76.18055895773207,5
studio-ousia/mluke-large-lite,janli,3e-05,256.0,5.2,153.6,80.99379759110941,80.73834253335576,76.20864060592878,71.42842359498951,76.12513557809136,5
studio-ousia/mluke-large-lite,janli,1e-05,256.0,11.0,294.4,81.06003334958777,80.79943404466407,76.1790664558996,71.5155263015846,76.1646756007161,5
studio-ousia/mluke-large-lite,janli,5e-05,128.0,2.0,128.0,80.72954867219913,80.22364552014783,75.95198331130737,71.29958836212343,75.82507239785954,5
studio-ousia/mluke-large-lite,janli,3e-05,128.0,5.2,307.2,81.05084645566987,80.73906997348914,76.25967128146176,71.49363318934604,76.16412481476564,5
studio-ousia/mluke-large-lite,janli,1e-05,128.0,8.4,460.8,80.83466994258438,80.49582574547662,75.85400871088949,71.17839500154354,75.84274315263654,5
